"Original Title","numberOfPages","authorAbout","bookFormat","numberOfRatings","firstPublishedDate","ISBN","bookId","description","authorName","title","Edition Language","publishedBy","rating","Literary Awards","Characters"
"Fahrenheit 451","194","Ray Douglas Bradbury, American novelist, short story writer, essayist, playwright, screenwriter and poet, was born August 22, 1920 in Waukegan, Illinois. He graduated from a Los Angeles high school in 1938. Although his formal education ended there, he became a ""student of life,"" selling newspapers on L.A. street corners from 1938 to 1942, spending his nights in the public library and his days at the typewriter. He became a full-time writer in 1943, and contributed numerous short stories to periodicals before publishing a collection of them, <i>Dark Carnival,</i> in 1947. <br /><br />His reputation as a writer of courage and vision was established with the publication of <i>The Martian Chronicles</i> in 1950, which describes the first attempts of Earth people to conquer and colonize Mars, and the unintended consequences. Next came <i>The Illustrated Man</i> and then, in 1953, <i>Fahrenheit 451,</i> which many consider to be Bradbury's masterpiece, a scathing indictment of censorship set in a future world where the written word is forbidden. In an attempt to salvage their history and culture, a group of rebels memorize entire works of literature and philosophy as their books are burned by the totalitarian state. Other works include <i>The October Country, Dandelion Wine, A Medicine for Melancholy, Something Wicked This Way Comes, I Sing the Body Electric!, Quicker Than the Eye,</i> and <i>Driving Blind.</i> In all, Bradbury has published more than thirty books, close to 600 short stories, and numerous poems, essays, and plays. His short stories have appeared in more than 1,000 school curriculum ""recommended reading"" anthologies. <br /><br />Ray Bradbury's work has been included in four Best American Short Story collections. He has been awarded the O. Henry Memorial Award, the Benjamin Franklin Award, the World Fantasy Award for Lifetime Achievement, the Grand Master Award from the Science Fiction Writers of America, the PEN Center USA West Lifetime Achievement Award, among others. In November 2000, the National Book Foundation Medal for Distinguished Contribution to American Letters was conferred upon Mr. Bradbury at the 2000 National Book Awards Ceremony in New York City. <br /><br />Ray Bradbury has never confined his vision to the purely literary. He has been nominated for an Academy Award (for his animated film Icarus Montgolfier Wright), and has won an Emmy Award (for his teleplay of The Halloween Tree). He adapted sixty-five of his stories for television's Ray Bradbury Theater. He was the creative consultant on the United States Pavilion at the 1964 New York World's Fair. In 1982 he created the interior metaphors for the Spaceship Earth display at Epcot Center, Disney World, and later contributed to the conception of the Orbitron space ride at Euro-Disney, France. <br /><br />Married since 1947, Mr. Bradbury and his wife Maggie lived in Los Angeles with their numerous cats. Together, they raised four daughters and had eight grandchildren. Sadly, Maggie passed away in November of 2003. <br /><br />On the occasion of his 80th birthday in August 2000, Bradbury said, ""The great fun in my life has been getting up every morning and rushing to the typewriter because some new idea has hit me. The feeling I have every day is very much the same as it was when I was twelve. In any event, here I am, eighty years old, feeling no different, full of a great sense of joy, and glad for the long life that has been allowed me. I have good plans for the next ten or twenty years, and I hope you'll come along.""","Kindle Edition","2283780","October 19, 1953",,"13079982","<b>Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.</b><br /><br />Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.","Ray Bradbury","Fahrenheit 451","English","Simon & Schuster","3.97","Prometheus Hall of Fame Award, Geffen Award, California Book Award, Retro Hugo Award","Guy Montag, Clarisse McClellan, Mildred Montag, Captain Beatty, Professor Faber, The Mechanical Hound"
"Lord of the Flies","182","People note British writer Sir <b>William Gerald Golding</b> for his dark novels, especially <i>
  <a href=""https://www.goodreads.com/book/show/7624.The_Lord_of_the_Flies"" title=""The Lord of the Flies"" rel=""nofollow noopener"">The Lord of the Flies</a>
</i> (1954); he won the Nobel Prize of 1983 for literature. <br /><br />People best know this British novelist, poet, and playwright for this novel. Golding spent two years, focusing on sciences, in Oxford but changed his educational emphasis to English, especially Anglo-Saxon, literature. <br /><br />During World War II, he served as part of the royal Navy, which he left five years later. This experience strongly influenced his future novels. Later, he taught and focused on writing. Classical Greek literature, such as that of <a href=""https://www.goodreads.com/author/show/973.Euripides"" title=""Euripides"" rel=""nofollow noopener"">Euripides</a>, and <i>
  <a href=""https://www.goodreads.com/book/show/409464.The_Battle_of_Maldon"" title=""The Battle of Maldon"" rel=""nofollow noopener"">The Battle of Maldon</a>
</i>, an Anglo-Saxon oeuvre of unknown author influenced him. <br /><br />College students in the 1950s and 1960s gave the attention to <i>Lord of the Flies</i>, first novel of Golding; their attention drove that of literary critics. He was awarded the Booker Prize for literature in 1980 for his novel <i>
  <a href=""https://www.goodreads.com/book/show/14431.Rites_of_Passage"" title=""Rites of Passage"" rel=""nofollow noopener"">Rites of Passage</a>
</i>, the first book of the trilogy <a href=""http://www.goodreads.com/series/58734-to-the-ends-of-the-earth"" rel=""nofollow noopener"">To the Ends of the Earth</a>. He received knighthood in 1988. <br /><br />In 2008, <i>The Times</i> ranked Golding third on their list of ""The 50 greatest British writers since 1945."" ","Paperback","2796322","September 17, 1954","0140283331","7624","At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”","William Golding","Lord of the Flies","English","Penguin Books ","3.69",,"Ralph, Piggy, Roger, Jack Merridew, Simon"
"Lolita","368","Russian: <b>
  <a href=""https://www.goodreads.com/author/show/15904726._____________________________"" title=""Владимир Владимирович Набоков"" rel=""nofollow noopener"">Владимир Владимирович Набоков</a>
</b>.<br /><br />Vladimir Vladimirovich Nabokov, also known by the pen name Vladimir Sirin, was a Russian-American novelist. Nabokov wrote his first nine novels in Russian, then rose to international prominence as a master English prose stylist. He also made significant contributions to lepidoptery, and had a big interest in chess problems.<br /><br />Nabokov's <i>Lolita</i> (1955) is frequently cited as his most important novel, and is at any rate his most widely known one, exhibiting the love of intricate wordplay and descriptive detail that characterized all his works.<br /><br />Lolita was ranked fourth in the list of the Modern Library 100 Best Novels; Pale Fire (1962) was ranked 53rd on the same list, and his memoir, Speak, Memory (1951), was listed eighth on the publisher's list of the 20th century's greatest nonfiction. He was also a finalist for the National Book Award for Fiction seven times. ","Paperback","815356","September 1, 1955",,"7604","<i>Librarian's note: Alternate cover edition of ISBN <a href=""https://www.goodreads.com/book/show/41738391.9780141182537"" title=""9780141182537"">9780141182537</a>.</i><br /><br />Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Dolores Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.","Vladimir Nabokov","Lolita","English","Penguin","3.88","National Book Award Finalist, Premios Fervenzas Literarias","Humbert Humbert, Dolores “Lolita” Haze, Charlotte Haze, Clare Quilty"
"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ","275","Kurt Vonnegut, Junior was an American novelist, satirist, and most recently, graphic artist. He was recognized as New York State Author for 2001-2003. <br /><br />He was born in Indianapolis, later the setting for many of his novels. He attended Cornell University from 1941 to 1943, where he wrote a column for the student newspaper, the Cornell Daily Sun. Vonnegut trained as a chemist and worked as a journalist before joining the U.S. Army and serving in World War II. <br /><br />After the war, he attended University of Chicago as a graduate student in anthropology and also worked as a police reporter at the City News Bureau of Chicago. He left Chicago to work in Schenectady, New York in public relations for General Electric. He attributed his unadorned writing style to his reporting work. <br /><br />His experiences as an advance scout in the Battle of the Bulge, and in particular his witnessing of the bombing of Dresden, Germany whilst a prisoner of war, would inform much of his work. This event would also form the core of his most famous work, Slaughterhouse-Five, the book which would make him a millionaire. This acerbic 200-page book is what most people mean when they describe a work as ""Vonnegutian"" in scope. <br /><br />Vonnegut was a self-proclaimed humanist and socialist (influenced by the style of Indiana's own Eugene V. Debs) and a lifelong supporter of the American Civil Liberties Union.<br /><br />The novelist is known for works blending satire, black comedy and science fiction, such as Slaughterhouse-Five (1969), Cat's Cradle (1963), and Breakfast of Champions (1973) ","Paperback","1327155","March 31, 1969","0385333846","4981","<i>Slaughterhouse-Five</i>, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.”<br /><br /> An instant bestseller, <i>Slaughterhouse-Five </i>made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonnegut’s writing—the political edginess, the genre-bending inventiveness, the frank violence, the transgressive wit—that have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it. <br /> Fifty years after its initial publication at the height of the Vietnam War, Vonnegut's portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own era’s uncertainties.","Kurt Vonnegut Jr.","Slaughterhouse-Five","English","Dial Press","4.09","Hugo Award, Nebula Award, National Book Award Finalist, Chicago Publishers' Award","Billy Pilgrim, Kilgore Trout, Eliot Rosewater, Roland Weary, Paul Lazzaro, Edgar Derby, Robert Pilgrim, Valencia Merble, Barbara Pilgrim, Howard W. Campbell Jr., Montana Wildhack, Bertam Copeland Rumfoord"
"The Handmaid's Tale","314","Margaret Atwood was born in 1939 in Ottawa and grew up in northern Ontario, Quebec, and Toronto. She received her undergraduate degree from Victoria College at the University of Toronto and her master's degree from Radcliffe College.<br /><br />Throughout her writing career, Margaret Atwood has received numerous awards and honourary degrees. She is the author of more than thirty-five volumes of poetry, children’s literature, fiction, and non-fiction and is perhaps best known for her novels, which include The Edible Woman (1970), The Handmaid's Tale (1983), The Robber Bride (1994), Alias Grace (1996), and The Blind Assassin, which won the prestigious Booker Prize in 2000. Atwood's dystopic novel, Oryx and Crake, was published in 2003. The Tent (mini-fictions) and Moral Disorder (short stories) both appeared in 2006. Her most recent volume of poetry, The Door, was published in 2007. Her non-fiction book, Payback: Debt and the Shadow Side of Wealth ­ in the Massey series, appeared in 2008, and her most recent novel, The Year of the Flood, in the autumn of 2009. Ms. Atwood's work has been published in more than forty languages, including Farsi, Japanese, Turkish, Finnish, Korean, Icelandic and Estonian. In 2004 she co-invented the Long Pen TM.<br /><br />Margaret Atwood currently lives in Toronto with writer Graeme Gibson. <br /><br />Associations: Margaret Atwood was President of the Writers' Union of Canada from May 1981 to May 1982, and was President of International P.E.N., Canadian Centre (English Speaking) from 1984-1986. She and Graeme Gibson are the Joint Honourary Presidents of the Rare Bird Society within BirdLife International. Ms. Atwood is also a current Vice-President of PEN International.<br /><br /><br />","Paperback","1943986","January 1, 1985",,"38447","Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now…<br /><br />Funny, unexpected, horrifying, and altogether convincing, <i>The Handmaid's Tale</i> is at once scathing satire, dire warning, and tour de force.","Margaret Atwood","The Handmaid’s Tale","English","Anchor Books","4.13","Booker Prize, Nebula Award, Locus Award, Arthur C. Clarke Award, Audie Award, Los Angeles Times Book Prize, Prometheus Award, James Tiptree Jr. Award, Governor General's Literary Awards / Prix littéraires du Gouverneur général, SF Chronicle Award, Commonwealth Writers' Prize, CBC Canada Reads, Metų verstinė knyga","The Commander, Offred, Serena Joy, Ofglen, Moira, Aunt Lydia, Nick (The Handmaid's Tale), Janine (The Handmaid's Tale)"
"The Cider House Rules","1064","JOHN IRVING was born in Exeter, New Hampshire, in 1942. His first novel, Setting Free the Bears, was published in 1968, when he was twenty-six. He competed as a wrestler for twenty years, and coached wrestling until he was forty-seven.<br />	Mr. Irving has been nominated for a National Book Award three times—winning once, in 1980, for his novel The World According to Garp. He received an O. Henry Award in 1981 for his short story “Interior Space.” In 2000, Mr. Irving won the Oscar for Best Adapted Screenplay for The Cider House Rules. In 2013, he won a Lambda Literary Award for his novel In One Person.<br />	An international writer—his novels have been translated into more than thirty-five languages—John Irving lives in Toronto. His all-time best-selling novel, in every language, is A Prayer for Owen Meany. <br />	Avenue of Mysteries is his fourteenth novel. ","Hardcover","181080","May 10, 1985","0786226749","4687","Raised from birth in the orphanage at St. Cloud's, Maine, Homer Wells has become the protege of Dr. Wilbur Larch, its physician and director. There Dr. Larch cares for the troubled mothers who seek his help, either by delivering and taking in their unwanted babies or by performing illegal abortions. Meticulously trained by Dr. Larch, Homer assists in the former, but draws the line at the latter. Then a young man brings his beautiful fiancee to Dr. Larch for an abortion, and everything about the couple beckons Homer to the wide world outside the orphanage ...","John Irving","The Cider House Rules","English","Thorndike Press","4.16",,"Dr. Wilbur Larch, Candy Kendall, Wally Worthington, Rose Rose, Homer Wells"
"Tender is the Night","430","<b>Francis Scott Key Fitzgerald</b> was an American writer of novels and short stories, whose works have been seen as evocative of the Jazz Age, a term he himself allegedly coined. He is regarded as one of the greatest twentieth century writers. Fitzgerald was of the self-styled ""Lost Generation,"" Americans born in the 1890s who came of age during World War I. He finished four novels, left a fifth unfinished, and wrote dozens of short stories that treat themes of youth, despair, and age. He was married to <a href=""https://www.goodreads.com/author/show/28243.Zelda_Fitzgerald"" title=""Zelda Fitzgerald"" rel=""nofollow noopener"">Zelda Fitzgerald</a>.","Paperback","132718","April 12, 1934",,"46164","Set on the French Riviera in the late 1920s, <i>Tender Is the Night</i> is the tragic romance of the young actress Rosemary Hoyt and the stylish American couple Dick and Nicole Diver. A brilliant young psychiatrist at the time of his marriage, Dick is both husband and doctor to Nicole, whose wealth goads him into a lifestyle not his own, and whose growing strength highlights Dick's harrowing demise. A profound study of the romantic concept of character, <i>Tender Is the Night</i> is lyrical, expansive, and hauntingly evocative.","F. Scott Fitzgerald","Tender Is the Night","English","Scribner","3.79",,"Dick Diver, Nicole Diver, Rosemary Hoyt, Elsie Speers, Abe North, Franz Gregorovius, Baby Warren, Tommy Barban, Mary North, Violet McKisco, Albert McKisco, Devereux Warren"
"The Screwtape Letters","222","<i>Librarian Note: There is more than one author in the Goodreads database with this name.</i><br /><br />Clive Staples Lewis was one of the intellectual giants of the twentieth century and arguably one of the most influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance Literature at Cambridge University, a position he held until his retirement. He wrote more than thirty books, allowing him to reach a vast audience, and his works continue to attract thousands of new readers every year. His most distinguished and popular accomplishments include <i>Mere Christianity</i>, <i>Out of the Silent Planet</i>, <i>The Great Divorce</i>, <i>The Screwtape Letters</i>, and the universally acknowledged classics <i>The Chronicles of Narnia</i>. To date, the Narnia books have sold over 100 million copies and been transformed into three major motion pictures.<br /><br />Lewis was married to poet <a href=""https://www.goodreads.com/author/show/467360.Joy_Davidman"" title=""Joy Davidman"" rel=""nofollow noopener"">Joy Davidman</a>.<br /><a href=""https://www.goodreads.com/author/show/1988716._W_H__Lewis"" title="" W.H. Lewis"" rel=""nofollow noopener""> W.H. Lewis</a> was his elder brother]","Kindle Edition","423597","February 1, 1942",,"8130077","The Screwtape Letters by C.S.  Lewis is a classic masterpiece of religious satire that entertains readers with its sly and ironic portrayal of human life and foibles from the vantage point of Screwtape, a highly placed assistant to ""Our Father Below."" At once wildly comic, deadly serious, and strikingly original, C.S. Lewis's The Screwtape Letters is the most engaging account of temptation—and triumph over it—ever written. ","C.S. Lewis","The Screwtape Letters","English","HarperCollins e-books","4.26","Nautilus Book Award, Audie Award","Wormwood, The Patient, Screwtape"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","491","Born Terence David John Pratchett, Sir Terry Pratchett sold his first story when he was thirteen, which earned him enough money to buy a second-hand typewriter. His first novel, a humorous fantasy entitled <i>The Carpet People</i>, appeared in 1971 from the publisher Colin Smythe. <br /><br />Terry worked for many years as a journalist and press officer, writing in his spare time and publishing a number of novels, including his first Discworld novel, <i>The Color of Magic</i>, in 1983. In 1987, he turned to writing full time. <br /><br />There are over 40 books in the Discworld series, of which four are written for children. The first of these, <i>The Amazing Maurice and His Educated Rodents</i>, won the Carnegie Medal. <br /><br />A non-Discworld book, <i>Good Omens</i>, his 1990 collaboration with Neil Gaiman, has been a longtime bestseller and was reissued in hardcover by William Morrow in early 2006 (it is also available as a mass market paperback - Harper Torch, 2006 - and trade paperback - Harper Paperbacks, 2006). <br /><br />In 2008, Harper Children's published Terry's standalone non-Discworld YA novel, <i>Nation</i>. Terry published <i>Snuff</i> in October 2011. <br /><br />Regarded as one of the most significant contemporary English-language satirists, Pratchett has won numerous literary awards, was named an Officer of the British Empire (OBE) “for services to literature” in 1998, and has received honorary doctorates from the University of Warwick in 1999, the University of Portsmouth in 2001, the University of Bath in 2003, the University of Bristol in 2004, Buckinghamshire New University in 2008, the University of Dublin in 2008, Bradford University in 2009, the University of Winchester in 2009, and The Open University in 2013 for his contribution to Public Service.<br /><br />In Dec. of 2007, Pratchett disclosed that he had been diagnosed with Alzheimer's disease. On 18 Feb, 2009, he was knighted by Queen Elizabeth II.<br /><br />He was awarded the World Fantasy Life Achievement Award in 2010.<br /><br />Sir Terry Pratchett passed away on 12th March 2015.","Mass Market Paperback","704903","January 1, 1990",,"12067","According to the Nice and Accurate Prophecies of Agnes Nutter - the world's only totally reliable guide to the future - the world will end on a Saturday. Next Saturday, in fact. Just after tea...<br /><br />People have been predicting the end of the world almost from its very beginning, so it’s only natural to be sceptical when a new date is set for Judgement Day. This time though, the armies of Good and Evil really do appear to be massing. The four Bikers of the Apocalypse are hitting the road. But both the angels and demons – well, one fast-living demon and a somewhat fussy angel – would quite like the Rapture not to happen.<br /><br />And someone seems to have misplaced the Antichrist…","Terry Pratchett","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","English","William Morrow","4.25","Locus Award, World Fantasy Award, Audie Award","Aziraphale, Adam Young, Anathema Device, Newt Pulsifer, Shadwell, Madame Tracy, DEATH, Crowley (Good Omens), Pippin Galadriel Moonchild (The Them), Brian (The Them), Wensleydale (The Them), Famine, Pollution, War"
"I Know Why the Caged Bird Sings","289","Maya Angelou, born Marguerite Ann Johnson April 4, 1928 in St. Louis, Missouri, was an American poet, memoirist, actress and an important figure in the American Civil Rights Movement. In 2001 she was named one of the 30 most powerful women in America by Ladies Home Journal. Maya Angelou is known for her series of six autobiographies, starting with I Know Why the Caged Bird Sings, (1969) which was nominated for a National Book Award and called her magnum opus. Her volume of poetry, Just Give Me a Cool Drink of Water 'Fore I Die (1971) was nominated for the Pulitzer Prize.","Paperback","512067","January 1, 1969","0553279378","13214","Maya Angelou’s debut memoir is a modern American classic beloved worldwide. Her life story is told in the documentary film And Still I Rise, as seen on PBS’s American Masters.<br /><br />Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelou’s debut memoir is a modern American classic beloved worldwide.<br /> <br />Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (“I met and fell in love with William Shakespeare”) will allow her to be free instead of imprisoned.<br /> <br />Poetic and powerful, <i>I Know Why the Caged Bird Sings</i> will touch hearts and change minds for as long as people read.","Maya Angelou","I Know Why the Caged Bird Sings","English","Bantam Books","4.29","Coretta Scott King Book Award","Maya Angelou, Bailey Johnson Jr., Annie ""Momma"" Henderson, Uncle Willie, Bailey Johnson, Vivian Baxter, Mr. Freeman (I Know Why The Caged Bird Sings)"
"Matilda","240","Roald Dahl was a British novelist, short story writer and screenwriter of Norwegian descent, who rose to prominence in the 1940's with works for both children and adults, and became one of the world's bestselling authors.<br /><br />Dahl's first published work, inspired by a meeting with C. S. Forester, was <i>Shot Down Over Libya</i>. Today the story is published as <i>A Piece of Cake</i>. The story, about his wartime adventures, was bought by the Saturday Evening Post for $900, and propelled him into a career as a writer. Its title was inspired by a highly inaccurate and sensationalized article about the crash that blinded him, which claimed he had been shot down instead of simply having to land because of low fuel.<br /><br />His first children's book was <i>The Gremlins</i>, about mischievous little creatures that were part of RAF folklore. The book was commissioned by Walt Disney for a film that was never made, and published in 1943. Dahl went on to create some of the best-loved children's stories of the 20th century, such as <i>Charlie and the Chocolate Factory</i>, <i>Matilda</i> and <i>James and the Giant Peach</i>.<br /><br />He also had a successful parallel career as the writer of macabre adult short stories, usually with a dark sense of humour and a surprise ending. Many were originally written for American magazines such as <i>Ladies Home Journal</i>, <i>Harper's</i>, <i>Playboy</i> and <i>The New Yorker</i>, then subsequently collected by Dahl into anthologies, gaining world-wide acclaim. Dahl wrote more than 60 short stories and they have appeared in numerous collections, some only being published in book form after his death. His stories also brought him three Edgar Awards: in 1954, for the collection <i>Someone Like You</i>; in 1959, for the story ""The Landlady""; and in 1980, for the episode of <i>Tales of the Unexpected</i> based on ""Skin"".","Paperback","894140","October 1, 1988","0141301066","39988","<b><i>“The Trunchbull”</i> is no match for Matilda!</b><br /><br />Matilda is a little girl who is far too good to be true. At age five-and-a-half she's knocking off double-digit multiplication problems and blitz-reading Dickens. Even more remarkably, her classmates love her even though she's a super-nerd and the teacher's pet. But everything is not perfect in Matilda's world...<br /><br />For starters she has two of the most idiotic, self-centered parents who ever lived. Then there's the large, busty nightmare of a school principal, Miss (""The"") Trunchbull, a former hammer-throwing champion who flings children at will, and is approximately as sympathetic as a bulldozer. Fortunately for Matilda, she has the inner resources to deal with such annoyances: astonishing intelligence, saintly patience, and an innate predilection for revenge.<br /><br /><b>
  <a href=""https://www.goodreads.com/author/show/4273.Roald_Dahl"" title=""Roald Dahl"">Roald Dahl</a>
</b> was a spy, ace fighter-pilot, chocolate historian, and medical inventor. He was also the author of <i><a href=""https://www.goodreads.com/book/show/781822.Charlie_and_the_Chocolate_Factory"" title=""Charlie and the Chocolate Factory"">Charlie and the Chocolate Factory</a>, <a href=""https://www.goodreads.com/book/show/28186304.Matilda"" title=""Matilda"">Matilda</a>, <a href=""https://www.goodreads.com/book/show/527786.The_BFG"" title=""The BFG"">The BFG</a>,</i> and many more brilliant stories. He remains the World's No. 1 Storyteller.","Roald Dahl","Matilda","English","Puffin","4.33","Odyssey Award, Prijs van de Nederlandse Kinderjury, Audie Award, Books I Loved Best Yearly (BILBY) Awards, West Australian Young Readers' Book Award (WAYRBA), Blue Peter Book Award, Red House Children's Book Award, Maryland Black-Eyed Susan Book Award, Massachusetts Children's Book Award, Nevada Young Readers' Award, Beehive Book Award, Indian Paintbrush Book Award, Bluestem Book Award, Virginia Reader's Choice, Rebecca Caudill Young Readers' Book Award","Matilda Wormwood, Miss Honey, Miss Trunchbull"
"Roots: The Saga of an American Family","888","Alexander Murray Palmer Haley was an American writer. He is best known as the author of <i>Roots: The Saga of an American Family</i>, and of <i>The Autobiography of Malcolm X</i>, the latter of which he wrote in collaboration with Malcolm X.","Mass Market Paperback","158272","August 17, 1976","0440174643","546018","When he was a boy in Henning, Tennessee, Alex Haley's grandmother used to tell him stories about their family—stories that went back to <i>her</i> grandparents, and <i>their</i> grandparents, down through the generations all the way to a man she called ""the African."" She said he had lived across the ocean near what he called the ""<i>Kamby Bolongo</i>"" and had been out in the forest one day chopping wood to make a drum when he was set upon by four men, beaten, chained and dragged aboard a slave ship bound for Colonial America.<br /><br />Still vividly remembering the stories after he grew up and became a writer, Haley began to search for documentation that might authenticate the narrative. It took ten years and a half a million miles of travel across three continents to find it, but finally, in an astonishing feat of genealogical detective work, he discovered not only the name of ""the African""—Kunta Kinte—but the precise location of Juffure, the very village in The Gambia, West Africa, from which he was abducted in 1767 at the age of sixteen and taken on the <i>Lord Ligonier</i> to Maryland and sold to a Virginia planter.<br /><br />Haley has talked in Juffure with his own African sixth cousins. On September 29, 1967, he stood on the dock in Annapolis where his great-great-great-great-grandfather was taken ashore on September 29, 1767. Now he has written the monumental two-century drama of Kunta Kinte and the six generations who came after him—slaves and freedmen, farmers and blacksmiths, lumber mill workers and Pullman porters, lawyers and architects—and one author.<br /><br />But Haley has done more than recapture the history of his own family. As the first black American writer to trace his origins back to their roots, he has told the story of 25,000,000 Americans of African descent. He has rediscovered for an entire people a rich cultural heritage that slavery took away from them, along with their names and their identities. But <i>Roots</i> speaks, finally, not just to blacks, or to whites, but to all people and all races everywhere, for the story it tells is one of the most eloquent testimonials ever written to the indomitability of the human spirit.","Alex Haley","Roots: The Saga of an American Family","English","Dell Publishing","4.44","ASJA Outstanding Book Award, Audie Award, Premio Bancarella, National Book Critics Circle Award, Lillian Smith Book Award","George Lincoln Rockwell, Alex Haley, Kunta Kinte"
