Original Title;authorAbout;numberOfRatings;url;firstPublishedDate;ISBN;description;authorName;Edition Language;rating;Literary Awards;Characters;bookId;title
Cold Mountain;Charles Frazier is an award-winning author of American historical fiction. His literary corpus, to date, is comprised of three New York Times best selling novels: Nightwoods (2011), Thirteen Moons (2006), and Cold Mountain (1997) - winner of the National Book Award for Fiction.Librarian Note: There are multiple authors in the goodreads database with this name. more info here. ;239515;https://www.goodreads.com/book/show/10920.Cold_Mountain;1997-01-01;0802142842;"Cold Mountain is a novel about a soldier’s perilous journey back to his beloved near the Civil War's end. At once a love story &amp; a harrowing account of one man’s long walk home, Cold Mountain introduces a new talent in American literature.Based on local history &amp; family stories passed down by Frazier’s great-great-grandfather, Cold Mountain is the tale of a wounded Confederate soldier, Inman, who walks away from the ravages of the war &amp; back home to his prewar sweetheart, Ada. His odyssey thru the devastated landscape of the soon-to-be-defeated South interweaves with Ada’s struggle to revive her father’s farm, with the help of an intrepid young drifter named Ruby. As their long-separated lives begin to converge at the close of the war, Inman &amp; Ada confront the vastly transformed world they’ve been delivered.Frazier reveals insight into human relations with the land &amp; the dangers of solitude. He also shares with the great 19th century novelists a keen observation of a society undergoing change. Cold Mountain recreates a world gone by that speaks to our time.";Charles Frazier;English;3.88;National Book Award, American Booksellers Book Of The Year  Award, Exclusive Books Boeke Prize, Sue Kaufman Prize for First Fiction, Chicago Tribune Heartland Prize, National Book Critics Circle Award, Weatherford Award, Lillian Smith Book Award, Thomas Wolfe Memorial Literary Award;"William ""W. P."" Inman, Ada Monroe, Ruby Thewes";10920;Cold Mountain
Go Ask Alice;"Beatrice Sparks was an American therapist and Mormon youth counselor who was known for producing books purporting to be the 'real diaries' of troubled teenagers. The books deal with topical issues such as drug abuse, Satanism, teenage pregnancy or AIDS, and are presented as cautionary tales. Although Sparks always presented herself as merely the discoverer and editor of the diaries, records at the U.S. Copyright Office show that in fact she was listed as the sole author for all but two of them.Sparks began working with teenagers in 1955, after attending the University of California at Los Angeles and Brigham Young University. She has worked as a music therapist at Utah State Mental Hospital and taught continuing education courses at BYU.Critics have called the precise extent of Sparks' qualifications and experience into question. The editorial credit on some of the diaries published by Sparks identifies her as ""Dr Beatrice Sparks, PhD"". However, when journalist Aileen Pace Nilsen interviewed Sparks for School Library Journal in 1979, she was unable to find any confirmation of where or when Sparks earned her doctorate. Nilsen also wrote that Sparks was ""vague about specifics"" when asked about her counseling qualifications and professional experience.Sparks said that her experience working with troubled adolescents made her want to produce cautionary tales that would keep other teens from falling into the same traps. Her first work, Go Ask Alice, was published under the byline 'Anonymous' in 1971.";269263;https://www.goodreads.com/book/show/46799.Go_Ask_Alice;1971-01-01;1416914633;"It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean streets of an unforgiving city. It was a journey that would rob her of her innocence, her youth -- and ultimately her life.
  Read her diary. Enter her world. You will never forget her.
";Beatrice Sparks;English;3.75;[];[];46799;Go Ask Alice
The House at Pooh Corner;"Alan Alexander Milne (pronounced /ˈmɪln/) was an English author, best known for his books about the teddy bear Winnie-the-Pooh and for various children's poems. A. A. Milne was born in Kilburn, London, to parents Vince Milne and Sarah Marie Milne (née Heginbotham) and grew up at Henley House School, 6/7 Mortimer Road (now Crescent), Kilburn, a small public school run by his father. One of his teachers was H. G. Wells who taught there in 1889–90. Milne attended Westminster School and Trinity College, Cambridge, where he studied on a mathematics scholarship. While there, he edited and wrote for Granta, a student magazine. He collaborated with his brother Kenneth and their articles appeared over the initials AKM. Milne's work came to the attention of the leading British humour magazine Punch, where Milne was to become a contributor and later an assistant editor. Milne joined the British Army in World War I and served as an officer in the Royal Warwickshire Regiment and later, after a debilitating illness, the Royal Corps of Signals. He was discharged on February 14, 1919. After the war, he wrote a denunciation of war titled Peace with Honour (1934), which he retracted somewhat with 1940's War with Honour. During World War II, Milne was one of the most prominent critics of English writer P. G. Wodehouse, who was captured at his country home in France by the Nazis and imprisoned for a year. Wodehouse made radio broadcasts about his internment, which were broadcast from Berlin. Although the light-hearted broadcasts made fun of the Germans, Milne accused Wodehouse of committing an act of near treason by cooperating with his country's enemy. Wodehouse got some revenge on his former friend by creating fatuous parodies of the Christopher Robin poems in some of his later stories, and claiming that Milne ""was probably jealous of all other writers.... But I loved his stuff."" He married Dorothy ""Daphne"" de Sélincourt in 1913, and their only son, Christopher Robin Milne, was born in 1920. In 1925, A. A. Milne bought a country home, Cotchford Farm, in Hartfield, East Sussex. During World War II, A. A. Milne was Captain of the Home Guard in Hartfield &amp; Forest Row, insisting on being plain 'Mr. Milne' to the members of his platoon. He retired to the farm after a stroke and brain surgery in 1952 left him an invalid and by August 1953 ""he seemed very old and disenchanted"".He was 74 years old when he passed away in 1956.";88412;https://www.goodreads.com/book/show/776407.The_House_at_Pooh_Corner;1928-01-01;0525444440;"Winnie-the-Pooh, the Best Bear in All the World, has long been adored by readers young and old. In this beautiful full-color gift edition of ""The House at Pooh Corner, "" Ernest H. Shepard's classic illustrations have been painstakingly hand-colored. An exquisite volume and the perfect gift for any occasion, this book is as vivid and charming as the beloved characters from the Hundred Acre Wood.";A.A. Milne;English;4.37;Lewis Carroll Shelf Award;Winnie the Pooh (A.A. Milne), Christopher Robin (A.A. Milne), Piglet (A.A. Milne), Owl (A.A. Milne), Kanga (A.A. Milne), Roo (A.A. Milne), Eeyore (A.A. Milne), Tigger (A.A. Milne), Rabbit (A.A. Milne);776407;The House at Pooh Corner
Le deuxième sexe: I. Les faits et les mythes, II. L'expérience vécue;"Simone de Beauvoir was a French author and philosopher. She wrote novels, monographs on philosophy, political and social issues, essays, biographies, and an autobiography. She is now best known for her metaphysical novels, including ""She Came to Stay"" and ""The Mandarins"", and for her 1949 treatise ""The Second Sex"", a detailed analysis of women's oppression and a foundational tract of contemporary feminism.----Simone de Beauvoir est née à Paris le 9 janvier 1908. Elle fit ses études jusqu'au baccalauréat dans le très catholique cours Désir. Agrégée de philosophie en 1929, elle enseigna à Marseille, à Rouen et à Paris jusqu'en 1943. C'est L'Invitée (1943) qu'on doit considérer comme son véritable début littéraire. Viennent ensuite Le sang des autres (1945), Tous les hommes sont mortels (1946), Les Mandarins (prix Goncourt 1954), Les Belles Images (1966) et La Femme rompue (1968). Simone de Beauvoir a écrit des mémoires où elle nous donne elle-même à connaître sa vie, son œuvre. L'ampleur de l'entreprise autobiographique trouve sa justification, son sens, dans une contradiction essentielle à l'écrivain : choisir lui fut toujours impossible entre le bonheur de vivre et la nécessité d'écrire ; d'une part la splendeur contingente, de l'autre la rigueur salvatrice. Faire de sa propre existence l'objet de son écriture, c'était en partie sortir de ce dilemme. Outre le célèbre Deuxième sexe (1949) devenu l'ouvrage de référence du mouvement féministe mondial, l'œuvre théorique de Simone de Beauvoir comprend de nombreux essais philosophiques ou polémiques. Après la mort de Jean-Paul Sartre, Simone de Beauvoir a publié La Cérémonie des adieux (1981) et les Lettres au Castor (1983) qui rassemblent une partie de l'abondante correspondance qu'elle reçut de lui. Jusqu'au jour de sa mort, le 14 avril 1986, elle a collaboré activement à la revue fondée par Sartre et elle-même, Les Temps Modernes, et manifesté sous des formes diverses et innombrables sa solidarité avec le féminisme.";39879;https://www.goodreads.com/book/show/457264.The_Second_Sex;1949-01-01;0679724516;Newly translated and unabridged in English for the first time, Simone de Beauvoir’s masterwork is a powerful analysis of the Western notion of “woman,” and a groundbreaking exploration of inequality and otherness.  This long-awaited new edition reinstates significant portions of the original French text that were cut in the first English translation. Vital and groundbreaking, Beauvoir’s pioneering and impressive text remains as pertinent today as it was back then, and will continue to provoke and inspire generations of men and women to come.;Simone de Beauvoir;English;4.16;[];[];457264;The Second Sex
Labyrinths: Selected Stories & Other Writings;"Jorge Francisco Isidoro Luis Borges Acevedo, usually referred to as Jorge Luis Borges (Spanish pronunciation: [xoɾxe lwis boɾxes]), was an Argentine writer and poet born in Buenos Aires. In 1914, his family moved to Switzerland where he attended school and traveled to Spain. On his return to Argentina in 1921, Borges began publishing his poems and essays in Surrealist literary journals. He also worked as a librarian and public lecturer. Borges was fluent in several languages. He was a target of political persecution during the Peron regime, and supported the military juntas that overthrew it.Due to a hereditary condition, Borges became blind in his late fifties. In 1955, he was appointed director of the National Public Library (Biblioteca Nacional) and professor of Literature at the University of Buenos Aires. In 1961, he came to international attention when he received the first International Publishers' Prize Prix Formentor. His work was translated and published widely in the United States and in Europe. He died in Geneva, Switzerland, in 1986.J. M. Coetzee said of Borges: ""He, more than anyone, renovated the language of fiction and thus opened the way to a remarkable generation of Spanish American novelists."" ";30966;https://www.goodreads.com/book/show/17717.Labyrinths;1962-01-01;0811200124;"Although his work has been restricted to the short story, the essay, and poetry, Jorge Luis Borges of Argentina is recognized all over the world as one of the most original and significant figures in modern literature. In his preface, Andre Maurois writes: ""Borges is a great writer who has composed only little essays or short narratives. Yet they suffice for us to call him great because of their wonderful intelligence, their wealth of invention, and their tight, almost mathematical style.""Labyrinths is a representative selection of Borges' writing, some forty pieces drawn from various books of his published over the years. The translations are by Harriet de Onis, Anthony Kerrigan, and others, including the editors, who have provided a biographical and critical introduction, as well as an extensive bibliography.";Jorge Luis Borges;English;4.45;[];[];17717;Labyrinths: Selected Stories & Other Writings
The Pearl;"John Ernst Steinbeck Jr. (1902-1968) was an American writer. He wrote the Pulitzer Prize-winning novel, The Grapes of Wrath, published in 1939, and the novella, Of Mice and Men, published in 1937. In all, he wrote twenty-five books, including sixteen novels, six non-fiction books and several collections of short stories. In 1962, Steinbeck received the Nobel Prize for Literature.Steinbeck grew up in the Salinas Valley region of California, a culturally diverse place of rich migratory and immigrant history. This upbringing imparted a regionalistic flavor to his writing, giving many of his works a distinct sense of place. Steinbeck moved briefly to New York City, but soon returned home to California to begin his career as a writer. Most of his earlier work dealt with subjects familiar to him from his formative years. An exception was his first novel Cup of Gold which concerns the pirate Henry Morgan, whose adventures had captured Steinbeck's imagination as a child.In his subsequent novels, Steinbeck found a more authentic voice by drawing upon direct memories of his life in California. Later, he used real historical conditions and events in the first half of 20th century America, which he had experienced first-hand as a reporter. Steinbeck often populated his stories with struggling characters; his works examined the lives of the working class and migrant workers during the Dust Bowl and the Great Depression. His later body of work reflected his wide range of interests, including marine biology, politics, religion, history, and mythology. One of his last published works was Travels with Charley, a travelogue of a road trip he took in 1960 to rediscover America. He died in 1968 in New York of a heart attack, and his ashes are interred in Salinas.Seventeen of his works, including The Grapes of Wrath (1940), Cannery Row (1945), The Pearl (1947), and East of Eden (1952), went on to become Hollywood films, and Steinbeck also achieved success as a Hollywood writer, receiving an Academy Award nomination for Best Story in 1944 for Alfred Hitchcock's Lifeboat.";228342;https://www.goodreads.com/book/show/5308.The_Pearl;1947-01-01;0142000698;Like his father and grandfather before him, Kino is a poor diver, gathering pearls from the gulf beds that once brought great wealth to the kings of Spain and now provide Kino, Juana, and their infant son with meager subsistence. Then, on a day like any other, Kino emerges from the sea with a pearl as large as a sea gull’s egg, as “perfect as the moon.” With the pearl comes hope, the promise of comfort and of security…A story of classic simplicity, based on a Mexican folk tale, The Pearl explores the secrets of man’s nature, greed, the darkest depths of evil, and the luminous possibilities of love.;John Steinbeck;English;3.52;[];Kino, Juana, Coyotito, Juan Tomas, Apolonia;5308;The Pearl
Light in August;"William Cuthbert Faulkner was a Nobel Prize-winning American novelist and short story writer. One of the most influential writers of the twentieth century, his reputation is based mostly on his novels, novellas, and short stories. He was also a published poet and an occasional screenwriter.The majority of his works are set in his native state of Mississippi. Though his work was published as early as 1919, and largely during the 1920s and 1930s, Faulkner was relatively unknown until receiving the 1949 Nobel Prize in Literature, ""for his powerful and artistically unique contribution to the modern American novel."" Faulkner has often been cited as one of the most important writers in the history of American literature. Faulkner was influenced by European modernism, and employed stream of consciousness in several of his novels.";60675;https://www.goodreads.com/book/show/10979.Light_in_August;1932-03-12;0679732268;"Light in August, a novel that contrasts stark tragedy with hopeful perseverance in the face of mortality, which features some of Faulkner’s most memorable characters: guileless, dauntless Lena Grove, in search of the father of her unborn child; Reverend Gail Hightower, a lonely outcast haunted by visions of Confederate glory; and Joe Christmas, a desperate, enigmatic drifter consumed by his mixed ancestry.";William Faulkner;English;3.94;Premi Crítica Serra d'Or de Traducció;"Lena Grove, Lucas Burch, Byron Bunch, Joe Christmas, Joanna Burden, Reverend Gail Hightower, Eupheus ""Doc"" Hines";10979;Light in August
Schindler's Ark;"Thomas Michael Keneally, AO (born 7 October 1935) is an Australian novelist, playwright and author of non-fiction. He is best known for writing Schindler's Ark, the Booker Prize-winning novel of 1982, which was inspired by the efforts of Poldek Pfefferberg, a Holocaust survivor. The book would later be adapted to Steven Spielberg's Schindler's List (1993), which won the Academy Award for Best Picture.Often published under the name Tom Keneally in Australia.Life and Career:Born in Sydney, Keneally was educated at St Patrick's College, Strathfield, where a writing prize was named after him. He entered St Patrick's Seminary, Manly to train as a Catholic priest but left before his ordination. He worked as a Sydney schoolteacher before his success as a novelist, and he was a lecturer at the University of New England (1968–70). He has also written screenplays, memoirs and non-fiction books.Keneally was known as ""Mick"" until 1964 but began using the name Thomas when he started publishing, after advice from his publisher to use what was really his first name. He is most famous for his Schindler's Ark (1982) (later republished as Schindler's List), which won the Booker Prize and is the basis of the film Schindler's List (1993). Many of his novels are reworkings of historical material, although modern in their psychology and style.Keneally has also acted in a handful of films. He had a small role in The Chant of Jimmie Blacksmith (based on his novel) and played Father Marshall in the Fred Schepisi movie, The Devil's Playground (1976) (not to be confused with a similarly-titled documentary by Lucy Walker about the Amish rite of passage called rumspringa).In 1983, he was made an Officer of the Order of Australia (AO). He is an Australian Living Treasure.He is a strong advocate of the Australian republic, meaning the severing of all ties with the British monarchy, and published a book on the subject in Our Republic (1993). Several of his Republican essays appear on the web site of the Australian Republican Movement.Keneally is a keen supporter of rugby league football, in particular the Manly-Warringah Sea Eagles club of the NRL. He made an appearance in the rugby league drama film The Final Winter (2007).In March 2009, the Prime Minister of Australia, Kevin Rudd, gave an autographed copy of Keneally's Lincoln biography to President Barack Obama as a state gift.Most recently Thomas Keneally featured as a writer in the critically acclaimed Australian drama, Our Sunburnt Country.Thomas Keneally's nephew Ben is married to the former NSW Premier, Kristina Keneally.";158339;https://www.goodreads.com/book/show/375013.Schindler_s_List;1982-10-18;0340606517;In the shadow of Auschwitz, a flamboyant German industrialist grew into a living legend to the Jews of Cracow. He was a womaniser, a heavy drinker and a bon viveur, but to them he became a saviour. This is the extraordinary story of Oskar Schindler, who risked his life to protect Jews in Nazi-occupied Poland and who was transformed by the war into a man with a mission, a compassionate angel of mercy.;Thomas Keneally;English;4.34;Booker Prize, Los Angeles Times Book Prize;Oskar Schindler, Amon Leopold Göth;375013;Schindler's List
White Noise;Don DeLillo is an American author best known for his novels, which paint detailed portraits of American life in the late 20th and early 21st centuries. He currently lives outside of New York City.Among the most influential American writers of the past decades, DeLillo has received, among author awards, a National Book Award (White Noise, 1985), a PEN/Faulkner Award (Mao II, 1991), and an American Book Award (Underworld, 1998).DeLillo's sixteenth novel, Point Omega, was published in February, 2010.;110519;https://www.goodreads.com/book/show/28251250-white-noise;1985-01-21;0143129554;"The National Book Award-winning classic from the author of Underworld and Libra, now a Netflix film starring Adam Driver, Don Cheadle, and Greta GerwigWhite Noise tells the story of Jack Gladney, his fourth wife, Babette, and four ultra­modern offspring as they navigate the rocky passages of family life to the background babble of brand-name consumerism. When an industrial accident unleashes an ""airborne toxic event,"" a lethal black chemical cloud floats over their lives. The menacing cloud is a more urgent and visible version of the ""white noise"" engulfing the Gladneys—radio transmissions, sirens, microwaves, ultrasonic appliances, and TV murmurings—pulsing with life, yet suggesting something ominous.Part of the Penguin Orange Collection, a limited-run series of twelve influential and beloved American classics in a bold series design offering a modern take on the iconic Penguin paperbackWinner of the 2016 AIGA + Design Observer 50 Books | 50 Covers competition";Don DeLillo;English;3.86;National Book Award, National Book Critics Circle Award;Jack Gladney, Babette Gladney, Dana Breedlove, Tweedy Browner;28251250;White Noise
The Razor's Edge;William Somerset Maugham was born in Paris in 1874. He spoke French even before he spoke a word of English, a fact to which some critics attribute the purity of his style. His parents died early and, after an unhappy boyhood, which he recorded poignantly in Of Human Bondage, Maugham became a qualified physician. But writing was his true vocation. For ten years before his first success, he almost literally starved while pouring out novels and plays. Maugham wrote at a time when experimental modernist literature such as that of William Faulkner, Thomas Mann, James Joyce and Virginia Woolf was gaining increasing popularity and winning critical acclaim. In this context, his plain prose style was criticized as 'such a tissue of clichés' that one's wonder is finally aroused at the writer's ability to assemble so many and at his unfailing inability to put anything in an individual way.During World War I, Maugham worked for the British Secret Service . He travelled all over the world, and made many visits to America. After World War II, Maugham made his home in south of France and continued to move between England and Nice till his death in 1965.;46495;https://www.goodreads.com/book/show/31196.The_Razor_s_Edge;1944-01-01;1400034205;Larry Darrell is a young American in search of the absolute. The progress of this spiritual odyssey involves him with some of Maugham's most brillant characters - his fiancee Isabel, whose choice between love and wealth have lifelong repercussions, and Elliot Templeton, her uncle, a classic expatriate American snob. The most ambitious of Maugham's novels, this is also one in which Maugham himself plays a considerable part as he wanders in and out of the story, to observe his characters struggling with their fates.;W. Somerset Maugham;English;4.19;[];Elliott Templeton, Larry Darrell, Louisa Bradley, Sophie Macdonald, Gray Maturin, Isabel Bradley, Dr. Bob Nelson, W. Somerset Maugham, Suzanne Rouvier;31196;The Razor's Edge
White Fang;"John Griffith Chaney (1876-1916), better known as Jack London, was an American novelist, journalist, and social activist. A pioneer of commercial fiction and American magazines, he was one of the first American authors to become an international celebrity and earn a large fortune from writing. He was also an innovator in the genre that would later become known as science fiction.His most famous works include The Call of the Wild and White Fang, both set in the Klondike Gold Rush, as well as the short stories, ""To Build a Fire"", ""An Odyssey of the North"", and ""Love of Life"". He also wrote about the South Pacific in stories such as ""The Pearls of Parlay"", and ""The Heathen"".London was part of the radical literary group, ""The Crowd,"" in San Francisco and a passionate advocate of unionization, workers' rights, and socialism. He wrote several works dealing with these topics, such as his dystopian novel, The Iron Heel, his non-fiction exposé The People of the Abyss, War of the Classes, and Before Adam.London died November 22, 1916, in a sleeping porch in a cottage on his ranch. London's ashes were buried on his property, not far from the Wolf House. The grave is marked by a mossy boulder. The buildings and property were later preserved as Jack London State Historic Park, in Glen Ellen, California.";183928;https://www.goodreads.com/book/show/43035.White_Fang;1906-05-01;0439236193;White Fang is part dog and part wolf, and the lone survivor of his family. In his lonely world, he soon learns to follow the harsh law of the North--kill or be killed. But nothing in White Fang's life can prepare him for the cruel owner who turns him into a vicious killer. Will White Fang ever know the kindness of a gentle master?;Jack London;English;4.01;[];White Fang;43035;White Fang
The Vampire Lestat;Anne Rice (born Howard Allen Frances O'Brien) was a best-selling American author of gothic, supernatural, historical, erotica, and later religious themed books. Best known for The Vampire Chronicles, her prevailing thematic focus is on love, death, immortality, existentialism, and the human condition. She was married to poet Stan Rice for 41 years until his death in 2002. Her books have sold nearly 100 million copies, making her one of the most widely read authors in modern history. Anne Rice passed on December 11, 2021 due to complications from a stroke. She was eighty years old at the time of her death. She uses the pseudonym Anne Rampling for adult-themed fiction (i.e., erotica) and A.N. Roquelaure for fiction featuring sexually explicit sado-masochism.;195642;https://www.goodreads.com/book/show/43814.The_Vampire_Lestat;1985-01-01;0345476883;Lestat. The vampire hero of Anne Rice's enthralling new novel is a creature of the darkest and richest imagination. Once an aristocrat in the heady days of pre-revolutionary France, now a rock star in the demonic, shimmering 1980s, he rushes through the centuries in search of others like him, seeking answers to the mystery of his eternal, terrifying existence. His is a mesmerizing story --- passionate, complex, and thrilling.;Anne Rice;English;4.09;Locus Award, World Fantasy Award;Lestat de Lioncourt, Gabrielle de Lioncourt, Akasha, Marius de Romanus, Nicolas de Lenfrent, Louis de Pointe du Lac, Armand;43814;The Vampire Lestat
All the Pretty Horses;Cormac McCarthy was an American novelist and playwright. He wrote twelve novels in the Southern Gothic, western, and post-apocalyptic genres and also wrote plays and screenplays. He received the Pulitzer Prize in 2007 for The Road, and his 2005 novel No Country for Old Men was adapted as a 2007 film of the same name, which won four Academy Awards, including Best Picture. His earlier Blood Meridian (1985) was among Time Magazine's poll of 100 best English-language books published between 1925 and 2005, and he placed joint runner-up for a similar title in a poll taken in 2006 by The New York Times of the best American fiction published in the last 25 years. Literary critic Harold Bloom named him one of the four major American novelists of his time, along with Thomas Pynchon, Don DeLillo, and Philip Roth. He is frequently compared by modern reviewers to William Faulkner. In 2009, Cormac McCarthy won the PEN/Saul Bellow Award, a lifetime achievement award given by the PEN American Center.;116665;https://www.goodreads.com/book/show/469571.All_the_Pretty_Horses;1992-05-11;0679744398;All the Pretty Horses tells of young John Grady Cole, the last of a long line of Texas ranchers. Across the border Mexico beckons—beautiful and desolate, rugged and cruelly civilized. With two companions, he sets off on an idyllic, sometimes comic adventure, to a place where dreams are paid for in blood.;Cormac McCarthy;English;4.03;National Book Award, National Book Critics Circle Award;John Grady Cole, Rawlins, Blevins, Alejandra;469571;All the Pretty Horses
Angle of Repose;"Wallace Earle Stegner was an American historian, novelist, short story writer, and environmentalist. Some call him ""The Dean of Western Writers."" He won the Pulitzer Prize in 1972 and the U.S. National Book Award in 1977.";58337;https://www.goodreads.com/book/show/292408.Angle_of_Repose;1971-03-01;;Confined to a wheelchair, retired historian Lyman Ward sets out to write his grandparents' remarkable story, chronicling their days spent carving civilization into the surface of America's western frontier. But his research reveals even more about his own life than he's willing to admit. What emerges is an enthralling portrait of four generations in the life of an American family.Wallace Stegner's Pultizer Prize-winning novel is a story of discovery—personal, historical, and geographical.;Wallace Stegner;English;4.24;Pulitzer Prize;Lyman Ward, Susan Burling Ward, Oliver Ward, Rodman Ward, Frank Sargent, Ada Topham, Shelly Rasmussen, Ellen Ward;292408;Angle of Repose
'Salem's Lot;"Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two, he and his older brother, David, were raised by his mother. Parts of his childhood were spent in Fort Wayne, Indiana, where his father's family was at the time, and in Stratford, Connecticut. When Stephen was eleven, his mother brought her children back to Durham, Maine, for good. Her parents, Guy and Nellie Pillsbury, had become incapacitated with old age, and Ruth King was persuaded by her sisters to take over the physical care of them. Other family members provided a small house in Durham and financial support. After Stephen's grandparents passed away, Mrs. King found work in the kitchens of Pineland, a nearby residential facility for the mentally challenged.Stephen attended the grammar school in Durham and Lisbon Falls High School, graduating in 1966. From his sophomore year at the University of Maine at Orono, he wrote a weekly column for the school newspaper, THE MAINE CAMPUS. He was also active in student politics, serving as a member of the Student Senate. He came to support the anti-war movement on the Orono campus, arriving at his stance from a conservative view that the war in Vietnam was unconstitutional. He graduated in 1970, with a B.A. in English and qualified to teach on the high school level. A draft board examination immediately post-graduation found him 4-F on grounds of high blood pressure, limited vision, flat feet, and punctured eardrums.He met Tabitha Spruce in the stacks of the Fogler Library at the University, where they both worked as students; they married in January of 1971. As Stephen was unable to find placement as a teacher immediately, the Kings lived on his earnings as a laborer at an industrial laundry, and her student loan and savings, with an occasional boost from a short story sale to men's magazines.Stephen made his first professional short story sale (""The Glass Floor"") to Startling Mystery Stories in 1967. Throughout the early years of his marriage, he continued to sell stories to men's magazines. Many were gathered into the Night Shift collection or appeared in other anthologies.In the fall of 1971, Stephen began teaching English at Hampden Academy, the public high school in Hampden, Maine. Writing in the evenings and on the weekends, he continued to produce short stories and to work on novels.";430046;https://www.goodreads.com/book/show/11590._Salem_s_Lot;1975-10-17;0450031063;Librarian's Note: Alternate-cover edition for ISBN 0450031063Thousands of miles away from the small township of 'Salem's Lot, two terrified people, a man and a boy, still share the secrets of those clapboard houses and tree-lined streets. They must return to 'Salem's Lot for a final confrontation with the unspeakable evil that lives on in the town.;Stephen King;English;4.05;World Fantasy Award;Benjamin Mears, Susan Norton, Matt Burke, Mark Petrie, Father Donald Callahan, Mike Ryerson, Dr James Cody, Richard Throckett Straker, Danny Glick, Larry Crockett, Sonny James, Charles Boone, Loretta Starcher, Weasel Craig, Larry McLeod, Joe Crane, June Petrie, Hal Griffen, Dud Rogers, Cynthia Stowens, Buddy Bascomb, Nolly Gardener, Tookey, Miss Coogan, Royal Snow, Harriet Durham;11590;'Salem's Lot
The Tale of Peter Rabbit ;Helen Beatrix Potter was an English author, illustrator, mycologist, and conservationist who is best known for her children's books, which featured animal characters such as Peter Rabbit.Born into a wealthy household, Potter was educated by governesses and grew up isolated from other children. She had numerous pets, and through holidays in Scotland and the Lake District, developed a love of landscape, flora, and fauna, all of which she closely observed and painted. Because she was a woman, her parents discouraged intellectual development, but her study and paintings of fungi led her to be widely respected in the field of mycology.In her thirties, Potter published the highly successful children's book The Tale of Peter Rabbit and became secretly engaged to her publisher, Norman Warne, causing a breach with her parents, who disapproved of his social status. Warne died before the wedding.Potter eventually published 24 children's books, the most recent being The Tale of Kitty-in-Boots (2016), and having become financially independent of her parents, was able to buy a farm in the Lake District, which she extended with other purchases over time. In her forties, she married a local solicitor, William Heelis. She became a sheep breeder and farmer while continuing to write and illustrate children's books. Potter died in 1943 and left almost all of her property to The National Trust in order to preserve the beauty of the Lake District as she had known it, protecting it from developers.Potter's books continue to sell well throughout the world, in multiple languages. Her stories have been retold in various formats, including a ballet, films, and in animation.;240523;https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit;1901-12-16;0723247706;"""Now, my dears,"" said old Mrs Rabbit one morning, ""you may go into the fields or down the lane, but don't go into Mr. McGregor's garden.""Follow the story of naughty Peter Rabbit as he squeezes—predictably—under the gate into Mr. McGregor's garden and finds himself in all kinds of trouble! But how does Peter Rabbit get himself out of this tricky situation? Beatrix Potter's story about one mischievous but ultimately endearing little creature will tell us, accompanied by beautiful illustrations and timeless verses which have transcended generations.'The Tale of Peter Rabbit', first published in 1902, is still today one of Beatrix Potter's most popular and well-loved tales. It is the first of the illustrious series that is The World of Beatrix Potter', and a story which has endured retelling after retelling at bedtimes all over the world. 
  Beatrix Potter
 (1866–1943) loved the countryside and spent much of her childhood drawing and studying animals. 'The Tale of Peter Rabbit', first published in 1902, was her first book. She later went on to publish more than twenty tales and collections of rhymes.Age Rating: 3–12+ / Preschool - 2+ / Lexile Measure AD660L";Beatrix Potter;English;4.21;Lewis Carroll Shelf Award;Peter Rabbit, Flopsy Rabbit, Mopsy Rabbit, Cotton-tail Rabbit, Mrs. Rabbit, Mr. McGregor;19321;The Tale of Peter Rabbit
