authorName;authorAbout;authorID
Philip K. Dick;Philip K. Dick was born in Chicago in 1928 and lived most of his life in California. In 1952, he began writing professionally and proceeded to write numerous novels and short-story collections. He won the Hugo Award for the best novel in 1962 for The Man in the High Castle and the John W. Campbell Memorial Award for best novel of the year in 1974 for Flow My Tears, the Policeman Said. Philip K. Dick died on March 2, 1982, in Santa Ana, California, of heart failure following a stroke.In addition to 44 published novels, Dick wrote approximately 121 short stories, most of which appeared in science fiction magazines during his lifetime. Although Dick spent most of his career as a writer in near-poverty, ten of his stories have been adapted into popular films since his death, including Blade Runner, Total Recall, A Scanner Darkly, Minority Report, Paycheck, Next, Screamers, and The Adjustment Bureau. In 2005, Time magazine named Ubik one of the one hundred greatest English-language novels published since 1923. In 2007, Dick became the first science fiction writer to be included in The Library of America series.;13
Chuck Palahniuk;Written in stolen moments under truck chassis and on park benches to a soundtrack of The Downward Spiral and Pablo Honey, Fight Club came into existence. The adaptation of Fight Club was a flop at the box office, but achieved cult status on DVD. The film’s popularity drove sales of the novel. Chuck put out two novels in 1999, Survivor and Invisible Monsters. Choke, published in 2001, became Chuck’s first New York Times bestseller. Chuck’s work has always been infused with personal experience, and his next novel, Lullaby, was no exception. Chuck credits writing Lullaby with helping him cope with the tragic death of his father. Diary and the non-fiction guide to Portland, Fugitives and Refugees, were released in 2003. While on the road in support of Diary, Chuck began reading a short story entitled 'Guts,' which would eventually become part of the novel Haunted.In the years that followed, he continued to write, publishing the bestselling Rant, Snuff, Pygmy, Tell-All, a 'remix' of Invisible Monsters, Damned, and most recently, Doomed. Chuck also enjoys giving back to his fans, and teaching the art of storytelling has been an important part of that. In 2004, Chuck began submitting essays to ChuckPalahniuk.net on the craft of writing. These were 'How To' pieces, straight out of Chuck's personal bag of tricks, based on the tenants of minimalism he learned from Tom Spanbauer. Every month, a “Homework Assignment” would accompany the lesson, so Workshop members could apply what they had learned. (all 36 of these essays can currently be found on The Cult's sister-site, LitReactor.com).Then, in 2009, Chuck increased his involvement by committing to read and review a selection of fan-written stories each month. The best stories are currently set to be published in Burnt Tongues, a forthcoming anthology, with an introduction written by Chuck himself. His next novel, Beautiful You, is due out in October 2014.;14
Nicholas Sparks;Nicholas Sparks is one of the world’s most beloved storytellers. All of his books have been New York Times bestsellers, with over 105 million copies sold worldwide, in more than 50 languages, including over 75 million copies in the United States alone.Sparks wrote one of his best-known stories, The Notebook, over a period of six months at age 28. It was published in 1996 and he followed with the novels Message in a Bottle (1998), A Walk to Remember (1999), The Rescue (2000), A Bend in the Road (2001), Nights in Rodanthe (2002), The Guardian (2003), The Wedding (2003), True Believer (2005) and its sequel, At First Sight (2005), Dear John (2006), The Choice (2007), The Lucky One (2008), The Last Song (2009), Safe Haven (2010), The Best of Me (2011), The Longest Ride (2013), See Me (2015), Two by Two (2016), Every Breath (2018), The Return (2020), and The Wish (2021) as well as the 2004 non-fiction memoir Three Weeks With My Brother, co-written with his brother Micah. His twenty-third novel, Dreamland, was published on September 20, 2022.Film adaptations of Nicholas Sparks novels, including The Choice, The Longest Ride, The Best of Me, Safe Haven (on all of which he served as a producer), The Lucky One, Message in a Bottle, A Walk to Remember, The Notebook, Nights in Rodanthe, Dear John and The Last Song, have had a cumulative worldwide gross of over three-quarters of a billion dollars. The Notebook has also been adapted into a musical, featuring music and lyrics by Ingrid Michaelson.Sparks lives in North Carolina. He contributes to a variety of local and national charities, and is a major contributor to the Creative Writing Program (MFA) at the University of Notre Dame, where he provides scholarships, internships, and a fellowship annually. He co-founded The Epiphany School in New Bern, North Carolina in 2006. As a former full scholarship athlete (he still holds a track and field record at the University of Notre Dame) he also spent four years coaching track and field athletes at the local public high school. In 2009, the team he coached at New Bern High School set a World Junior Indoor Record in the 4×400 meters, as well as US High School National Records in the 800 Medley and 1600 Medley. Click to watch the Runner’s World video with Nicholas.The Nicholas Sparks Foundation, a 501(c)(3) nonprofit, was founded in 2011, to provide scholarships and fund educational programs for underprivileged and disadvantaged youth. Between the foundation, and the personal gifts of the Sparks family, more than $15 million dollars have been distributed to deserving charities, scholarship programs, and projects. Because the Sparks family covers all operational expenses of the foundation, 100% of donations are devoted to programs.;16
Madeleine L'Engle;"Madeleine L'Engle was an American writer best known for her young adult fiction, particularly the Newbery Medal-winning A Wrinkle in Time and its sequels A Wind in the Door, A Swiftly Tilting Planet, and Many Waters. Her works reflect her strong interest in modern science: tesseracts, for example, are featured prominently in A Wrinkle in Time, mitochondrial DNA in A Wind in the Door, organ regeneration in The Arm of the Starfish, and so forth.""Madeleine was born on November 29th, 1918, and spent her formative years in New York City. Instead of her school work, she found that she would much rather be writing stories, poems and journals for herself, which was reflected in her grades (not the best). However, she was not discouraged.At age 12, she moved to the French Alps with her parents and went to an English boarding school where, thankfully, her passion for writing continued to grow. She flourished during her high school years back in the United States at Ashley Hall in Charleston, South Carolina, vacationing with her mother in a rambling old beach cottage on a beautiful stretch of Florida beach.She went to Smith College and studied English with some wonderful teachers as she read the classics and continued her own creative writing. She graduated with honors and moved into a Greenwich Village apartment in New York. She worked in the theater, where Equity union pay and a flexible schedule afforded her the time to write! She published her first two novels during these years—A Small Rain and Ilsa—before meeting Hugh Franklin, her future husband, when she was an understudy in Anton Chekov's The Cherry Orchard. They married during The Joyous Season.She had a baby girl and kept on writing, eventually moving to Connecticut to raise the family away from the city in a small dairy farm village with more cows than people. They bought a dead general store, and brought it to life for 9 years. They moved back to the city with three children, and Hugh revitalized his professional acting career. The family has kept the country house, Crosswicks, and continues to spend summers there.As the years passed and the children grew, Madeleine continued to write and Hugh to act, and they to enjoy each other and life. Madeleine began her association with the Cathedral Church of St. John the Divine, where she has been the librarian and maintained an office for more than thirty years. After Hugh's death in 1986, it was her writing and lecturing that kept her going. She has now lived through the 20th century and into the 21st and has written over 60 books and keeps writing. She enjoys being with her friends, her children, her grandchildren, and her great grandchildren.""http://us.macmillan.com/author/madele...Copyright © 2007 Crosswicks, Ltd. (Madeleine L'Engle, President)";17
Stephen King;"Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two, he and his older brother, David, were raised by his mother. Parts of his childhood were spent in Fort Wayne, Indiana, where his father's family was at the time, and in Stratford, Connecticut. When Stephen was eleven, his mother brought her children back to Durham, Maine, for good. Her parents, Guy and Nellie Pillsbury, had become incapacitated with old age, and Ruth King was persuaded by her sisters to take over the physical care of them. Other family members provided a small house in Durham and financial support. After Stephen's grandparents passed away, Mrs. King found work in the kitchens of Pineland, a nearby residential facility for the mentally challenged.Stephen attended the grammar school in Durham and Lisbon Falls High School, graduating in 1966. From his sophomore year at the University of Maine at Orono, he wrote a weekly column for the school newspaper, THE MAINE CAMPUS. He was also active in student politics, serving as a member of the Student Senate. He came to support the anti-war movement on the Orono campus, arriving at his stance from a conservative view that the war in Vietnam was unconstitutional. He graduated in 1970, with a B.A. in English and qualified to teach on the high school level. A draft board examination immediately post-graduation found him 4-F on grounds of high blood pressure, limited vision, flat feet, and punctured eardrums.He met Tabitha Spruce in the stacks of the Fogler Library at the University, where they both worked as students; they married in January of 1971. As Stephen was unable to find placement as a teacher immediately, the Kings lived on his earnings as a laborer at an industrial laundry, and her student loan and savings, with an occasional boost from a short story sale to men's magazines.Stephen made his first professional short story sale (""The Glass Floor"") to Startling Mystery Stories in 1967. Throughout the early years of his marriage, he continued to sell stories to men's magazines. Many were gathered into the Night Shift collection or appeared in other anthologies.In the fall of 1971, Stephen began teaching English at Hampden Academy, the public high school in Hampden, Maine. Writing in the evenings and on the weekends, he continued to produce short stories and to work on novels.";18
Don DeLillo;Don DeLillo is an American author best known for his novels, which paint detailed portraits of American life in the late 20th and early 21st centuries. He currently lives outside of New York City.Among the most influential American writers of the past decades, DeLillo has received, among author awards, a National Book Award (White Noise, 1985), a PEN/Faulkner Award (Mao II, 1991), and an American Book Award (Underworld, 1998).DeLillo's sixteenth novel, Point Omega, was published in February, 2010.;19
Paulo Coelho;"The Brazilian author PAULO COELHO was born in 1947 in the city of Rio de Janeiro. Before dedicating his life completely to literature, he worked as theatre director and actor, lyricist and journalist. In 1986, PAULO COELHO did the pilgrimage to Saint James of Compostella, an experience later to be documented in his book The Pilgrimage. In the following year, COELHO published The Alchemist. Slow initial sales convinced his first publisher to drop the novel, but it went on to become one of the best selling Brazilian books of all time. Other titles include Brida (1990), The Valkyries (1992), By the river Piedra I sat Down and Wept (1994), the collection of his best columns published in the Brazilian newspaper Folha de São Paulo entitle Maktub (1994), the compilation of texts Phrases (1995), The Fifth Mountain (1996), Manual of a Warrior of Light (1997), Veronika decides to die (1998), The Devil and Miss Prym (2000), the compilation of traditional tales in Stories for parents, children and grandchildren (2001), Eleven Minutes (2003), The Zahir (2005), The Witch of Portobello (2006) and Winner Stands Alone (to be released in 2009). During the months of March, April, May and June 2006, Paulo Coelho traveled to celebrate the 20th anniversary of his pilgrimage to Saint James of Compostella in 1986. He also held surprise book signings - announced one day in advance - in some cities along the way, to have a chance to meet his readers. In ninety days of pilgrimage the author traveled around the globe and took the famous Transiberrian train that took him to Vladivostok. During this experience Paulo Coelho launched his blog Walking the Path - The Pilgrimage in order to share with his readers his impressions. Since this first blog Paulo Coelho has expanded his presence in the internet with his daily blogs in Wordpress, Myspace &amp; Facebook. He is equally present in media sharing sites such as Youtube and Flickr, offering on a regular basis not only texts but also videos and pictures to his readers. From this intensive interest and use of the Internet sprang his bold new project: The Experimental Witch where he invites his readers to adapt to the screen his book The Witch of Portobello. Indeed Paulo Coelho is a firm believer of Internet as a new media and is the first Best-selling author to actively support online free distribution of his work. ";21
John Steinbeck;"John Ernst Steinbeck Jr. (1902-1968) was an American writer. He wrote the Pulitzer Prize-winning novel, The Grapes of Wrath, published in 1939, and the novella, Of Mice and Men, published in 1937. In all, he wrote twenty-five books, including sixteen novels, six non-fiction books and several collections of short stories. In 1962, Steinbeck received the Nobel Prize for Literature.Steinbeck grew up in the Salinas Valley region of California, a culturally diverse place of rich migratory and immigrant history. This upbringing imparted a regionalistic flavor to his writing, giving many of his works a distinct sense of place. Steinbeck moved briefly to New York City, but soon returned home to California to begin his career as a writer. Most of his earlier work dealt with subjects familiar to him from his formative years. An exception was his first novel Cup of Gold which concerns the pirate Henry Morgan, whose adventures had captured Steinbeck's imagination as a child.In his subsequent novels, Steinbeck found a more authentic voice by drawing upon direct memories of his life in California. Later, he used real historical conditions and events in the first half of 20th century America, which he had experienced first-hand as a reporter. Steinbeck often populated his stories with struggling characters; his works examined the lives of the working class and migrant workers during the Dust Bowl and the Great Depression. His later body of work reflected his wide range of interests, including marine biology, politics, religion, history, and mythology. One of his last published works was Travels with Charley, a travelogue of a road trip he took in 1960 to rediscover America. He died in 1968 in New York of a heart attack, and his ashes are interred in Salinas.Seventeen of his works, including The Grapes of Wrath (1940), Cannery Row (1945), The Pearl (1947), and East of Eden (1952), went on to become Hollywood films, and Steinbeck also achieved success as a Hollywood writer, receiving an Academy Award nomination for Best Story in 1944 for Alfred Hitchcock's Lifeboat.";22
Daphne du Maurier;"Daphne du Maurier was born on 13 May 1907 at 24 Cumberland Terrace, Regent's Park, London, the middle of three daughters of prominent actor-manager Sir Gerald du Maurier and actress Muriel, née Beaumont. In many ways her life resembles a fairy tale. Born into a family with a rich artistic and historical background, her paternal grandfather was author and Punch cartoonist George du Maurier, who created the character of Svengali in the 1894 novel Trilby, and her mother was a maternal niece of journalist, author, and lecturer Comyns Beaumont. She and her sisters were indulged as a children and grew up enjoying enormous freedom from financial and parental restraint. Her elder sister, Angela du Maurier, also became a writer, and her younger sister Jeanne was a painter.She spent her youth sailing boats, travelling on the Continent with friends, and writing stories. Her family connections helped her establish her literary career, and she published some of her early work in Beaumont's Bystander magazine. A prestigious publishing house accepted her first novel when she was in her early twenties, and its publication brought her not only fame but the attentions of a handsome soldier, Major (later Lieutenant-General Sir) Frederick Browning, whom she married.She continued writing under her maiden name, and her subsequent novels became bestsellers, earning her enormous wealth and fame. Many have been successfully adapted into films, including the novels Rebecca, Frenchman's Creek, My Cousin Rachel, and Jamaica Inn, and the short stories The Birds and Don't Look Now/Not After Midnight. While Alfred Hitchcock's films based upon her novels proceeded to make her one of the best-known authors in the world, she enjoyed the life of a fairy princess in a mansion in Cornwall called Menabilly, which served as the model for Manderley in Rebecca.Daphne du Maurier was obsessed with the past. She intensively researched the lives of Francis and Anthony Bacon, the history of Cornwall, the Regency period, and nineteenth-century France and England. Above all, however, she was obsessed with her own family history, which she chronicled in Gerald: A Portrait, a biography of her father; The du Mauriers, a study of her family which focused on her grandfather, George du Maurier, the novelist and illustrator for Punch; The Glassblowers, a novel based upon the lives of her du Maurier ancestors; and Growing Pains, an autobiography that ignores nearly 50 years of her life in favour of the joyful and more romantic period of her youth. Daphne du Maurier can best be understood in terms of her remarkable and paradoxical family, the ghosts which haunted her life and fiction.While contemporary writers were dealing critically with such subjects as the war, alienation, religion, poverty, Marxism, psychology and art, and experimenting with new techniques such as the stream of consciousness, du Maurier produced 'old-fashioned' novels with straightforward narratives that appealed to a popular audience's love of fantasy, adventure, sexuality and mystery. At an early age, she recognised that her readership was comprised principally of women, and she cultivated their loyal following through several decades by embodying their desires and dreams in her novels and short stories.In some of her novels, however, she went beyond the technique of the formulaic romance to achieve a powerful psychological realism reflecting her intense feelings about her father, and to a lesser degree, her mother. This vision, which underlies Julius, Rebecca and The Parasites, is that of an author overwhelmed by the memory of her father's commanding presence. In Julius and The Parasites, for example, she introduces the image of a domineering but deadly father and the daring subject of incest.In Rebecca, on the other hand, du Maurier fuses psychological realism with a sophisticated version of the Cinderella story. The nameless heroine has";23
Ray Bradbury;"Ray Douglas Bradbury, American novelist, short story writer, essayist, playwright, screenwriter and poet, was born August 22, 1920 in Waukegan, Illinois. He graduated from a Los Angeles high school in 1938. Although his formal education ended there, he became a ""student of life,"" selling newspapers on L.A. street corners from 1938 to 1942, spending his nights in the public library and his days at the typewriter. He became a full-time writer in 1943, and contributed numerous short stories to periodicals before publishing a collection of them, Dark Carnival, in 1947. His reputation as a writer of courage and vision was established with the publication of The Martian Chronicles in 1950, which describes the first attempts of Earth people to conquer and colonize Mars, and the unintended consequences. Next came The Illustrated Man and then, in 1953, Fahrenheit 451, which many consider to be Bradbury's masterpiece, a scathing indictment of censorship set in a future world where the written word is forbidden. In an attempt to salvage their history and culture, a group of rebels memorize entire works of literature and philosophy as their books are burned by the totalitarian state. Other works include The October Country, Dandelion Wine, A Medicine for Melancholy, Something Wicked This Way Comes, I Sing the Body Electric!, Quicker Than the Eye, and Driving Blind. In all, Bradbury has published more than thirty books, close to 600 short stories, and numerous poems, essays, and plays. His short stories have appeared in more than 1,000 school curriculum ""recommended reading"" anthologies. Ray Bradbury's work has been included in four Best American Short Story collections. He has been awarded the O. Henry Memorial Award, the Benjamin Franklin Award, the World Fantasy Award for Lifetime Achievement, the Grand Master Award from the Science Fiction Writers of America, the PEN Center USA West Lifetime Achievement Award, among others. In November 2000, the National Book Foundation Medal for Distinguished Contribution to American Letters was conferred upon Mr. Bradbury at the 2000 National Book Awards Ceremony in New York City. Ray Bradbury has never confined his vision to the purely literary. He has been nominated for an Academy Award (for his animated film Icarus Montgolfier Wright), and has won an Emmy Award (for his teleplay of The Halloween Tree). He adapted sixty-five of his stories for television's Ray Bradbury Theater. He was the creative consultant on the United States Pavilion at the 1964 New York World's Fair. In 1982 he created the interior metaphors for the Spaceship Earth display at Epcot Center, Disney World, and later contributed to the conception of the Orbitron space ride at Euro-Disney, France. Married since 1947, Mr. Bradbury and his wife Maggie lived in Los Angeles with their numerous cats. Together, they raised four daughters and had eight grandchildren. Sadly, Maggie passed away in November of 2003. On the occasion of his 80th birthday in August 2000, Bradbury said, ""The great fun in my life has been getting up every morning and rushing to the typewriter because some new idea has hit me. The feeling I have every day is very much the same as it was when I was twelve. In any event, here I am, eighty years old, feeling no different, full of a great sense of joy, and glad for the long life that has been allowed me. I have good plans for the next ten or twenty years, and I hope you'll come along.""";24
John le Carré;John le Carré, the pseudonym of David John Moore Cornwell (born 19 October 1931 in Poole, Dorset, England), was an English author of espionage novels. Le Carré had resided in St Buryan, Cornwall, Great Britain, for more than 40 years, where he owned a mile of cliff close to Land's End.;25
Andre Dubus III;Andre Dubus III is the author of The Garden of Last Days, House of Sand and Fog (a #1 New York Times bestseller, Oprah’s Book Club pick, and finalist for the National Book Award) and Townie, winner of an American Academy of Arts and Letters Award in Literature. His writing has received many honors, including a Guggenheim Fellowship, a National Magazine Award, and two Pushcart Prizes. He lives with his family north of Boston.;27
William Gibson;Librarian Note: There is more than one author in the Goodreads database with this name. See this thread for more information.William Ford Gibson is an American-Canadian writer who has been called the father of the cyberpunk subgenre of science fiction, having coined the term cyberspace in 1982 and popularized it in his first novel, Neuromancer (1984), which has sold more than 6.5 million copies worldwide.While his early writing took the form of short stories, Gibson has since written nine critically acclaimed novels (one in collaboration), contributed articles to several major publications, and has collaborated extensively with performance artists, filmmakers and musicians. His thought has been cited as an influence on science fiction authors, academia, cyberculture, and technology.---------------------------------William Gibson. (2007, October 17). In Wikipedia, The Free Encyclopedia. Retrieved 20:30, October 19, 2007, from http://en.wikipedia.org/w/index.php?t...;28
